0	Lm10y1.5cTm1cg0c0
1	Lm12.5y1.5cTm1cg0c0
2	Lm12.5y2.5cTm3cg0c0
3	Lm15y1.5cTm1cg0c0
4	Lm1y1cT0cgm0.2c0.2
5	Lm1y1cT0cgm0.4c0.4
6	Lm1y1cT0cgm0.6c0.6
7	Lm1y1cT0cgm0.8c0.8
8	Lm1y1cT0cgm1c1
9	Lm1y1cT0cg0.2cm0.2
10	Lm1y1cT0cg0.4cm0.4
11	Lm1y1cT0cg0.6cm0.6
12	Lm1y1cT0cg0.8cm0.8
13	Lm1y1cT0cg0c0
14	Lm1y1cT0cg1cm1
15	Lm2.4y1.5cTm1cg0c0
16	Lm2.4y1cT0cgm0.2c0.2
17	Lm2.4y1cT0cgm0.4c0.4
18	Lm2.4y1cT0cgm0.6c0.6
19	Lm2.4y1cT0cgm0.8c0.8
20	Lm2.4y1cT0cgm1c1
21	Lm2.4y1cT0cg0.2cm0.2
22	Lm2.4y1cT0cg0.4cm0.4
23	Lm2.4y1cT0cg0.6cm0.6
24	Lm2.4y1cT0cg0.8cm0.8
25	Lm2.4y1cT0cg0c0
26	Lm2.4y1cT0cg1cm1
27	Lm3.5y0.5cTm0.5cg0c0
28	Lm3.5y0.5cTm1cg0c0
29	Lm3.5y0.5cTm2cg0c0
30	Lm3.5y0.5cTm3cg0c0
31	Lm3.5y0.5cT0.5cg0c0
32	Lm3.5y0.5cT1.5cg0c0
33	Lm3.5y0.5cT1cg0c0
34	Lm3.5y0.5cT2.0cg0c0
35	Lm3.5y0.5cT2.5cg0c0
36	Lm3.5y0.5cT2cg0c0
37	Lm3.5y0.5cT3cg0c0
38	Lm3.5y1.5cTm0.5cg0c0
39	Lm3.5y1.5cTm1cg0c0
40	Lm3.5y1.5cTm2cg0c0
41	Lm3.5y1.5cTm3cg0c0
42	Lm3.5y1.5cT1cg0c0
43	Lm3.5y1.5cT2cg0c0
44	Lm3.5y1.5cT3cg0c0
45	Lm3.5y1cT0.5cg0c0
46	Lm3.5y1cT1.5cg0c0
47	Lm3.5y1cT2.0cg0c0
48	Lm3.5y1cT2.5cg0c0
49	Lm3.5y2.0cTm0.5cg0c0
50	Lm3.5y2.0cTm1cg0c0
51	Lm3.5y2.0cTm2cg0c0
52	Lm3.5y2.0cTm3cg0c0
53	Lm3.5y2.0cT0.5cg0c0
54	Lm3.5y2.0cT1cg0c0
55	Lm3.5y2.0cT2cg0c0
56	Lm3.5y2.0cT3cg0c0
57	Lm3.5y2.5cTm0.5cg0c0
58	Lm3.5y2.5cTm1cg0c0
59	Lm3.5y2.5cTm2cg0c0
60	Lm3.5y2.5cTm3cg0c0
61	Lm3.5y2.5cT0.5cg0c0
62	Lm3.5y2.5cT1cg0c0
63	Lm3.5y2.5cT2cg0c0
64	Lm3.5y2.5cT3cg0c0
65	Lm3.5y2cT0.5cg0c0
66	Lm3.5y2cT1.5cg0c0
67	Lm3.5y2cT2.0cg0c0
68	Lm3.5y2cT2.5cg0c0
69	Lm5.0y0.5cT0cg0c0
70	Lm5.0y1.0cT0cg0c0
71	Lm5.0y1.5cTm1cg0c0
72	Lm5.0y1.5cT0cg0c0
73	Lm5.0y2.0cT0cg0c0
74	Lm5.0y2.5cT0cg0c0
75	Lm5y1cT0cgm0.4c0.4
76	Lm5y1cT0cgm0.6c0.6
77	Lm5y1cT0cgm0.8c0.8
78	Lm5y1cT0cgm1c1
79	Lm5y1cT0cg0.2cm0.2
80	Lm5y1cT0cg0.4cm0.4
81	Lm5y1cT0cg0.6cm0.6
82	Lm5y1cT0cg0.8cm0.8
83	Lm5y1cT0cg0c0
84	Lm5y1cT0cg1cm1
85	Lm7.5y1.5cTm1cg0c0
86	L0p0y1cT0cgm0.2c0.2
87	L0p0y1cT0cgm0.4c0.4
88	L0p0y1cT0cgm0.6c0.6
89	L0p0y1cT0cgm0.8c0.8
90	L0p0y1cT0cgm1c1
91	L0p0y1cT0cg0.2cm0.2
92	L0p0y1cT0cg0.4cm0.4
93	L0p0y1cT0cg0.6cm0.6
94	L0p0y1cT0cg0.8cm0.8
95	L0p0y1cT0cg0c0
96	L0p0y1cT0cg1cm1
97	L1.0y1.5cTm1cg0c0
98	L10y1.5cTm1cg0c0
99	L12.5y1.5cTm1cg0c0
100	L15y1.5cTm1cg0c0
101	L1y1cTm0.5cgm0.2c0.2
102	L1y1cTm0.5cgm0.4c0.4
103	L1y1cTm0.5cgm0.6c0.6
104	L1y1cTm0.5cgm0.8c0.8
105	L1y1cTm0.5cgm1c1
106	L1y1cTm0.5cg0.2cm0.2
107	L1y1cTm0.5cg0.4cm0.4
108	L1y1cTm0.5cg0.6cm0.6
109	L1y1cTm0.5cg0.8cm0.8
110	L1y1cTm0.5cg0c0
111	L1y1cTm0.5cg1cm1
112	L1y1cTm1.5cgm0.2c0.2
113	L1y1cTm1.5cgm0.4c0.4
114	L1y1cTm1.5cgm0.6c0.6
115	L1y1cTm1.5cgm0.8c0.8
116	L1y1cTm1.5cg0.2cm0.2
117	L1y1cTm1.5cg0.4cm0.4
118	L1y1cTm1.5cg0.6cm0.6
119	L1y1cTm1.5cg0.8cm0.8
120	L1y1cTm1.5cg0c0
121	L1y1cTm1.5cg1cm1
122	L1y1cTm1cgm0.2c0.2
123	L1y1cTm1cgm0.4c0.4
124	L1y1cTm1cgm0.6c0.6
125	L1y1cTm1cgm0.8c0.8
126	L1y1cTm1cg0.2cm0.2
127	L1y1cTm1cg0.4cm0.4
128	L1y1cTm1cg0.6cm0.6
129	L1y1cTm1cg0.8cm0.8
130	L1y1cTm1cg0c0
131	L1y1cTm1cg1cm1
132	L1y1cTm2.5cgm0.2c0.2
133	L1y1cTm2.5cgm0.4c0.4
134	L1y1cTm2.5cgm0.6c0.6
135	L1y1cTm2.5cgm0.8c0.8
136	L1y1cTm2.5cgm1c1
137	L1y1cTm2.5cg0.2cm0.2
138	L1y1cTm2.5cg0.4cm0.4
139	L1y1cTm2.5cg0.6cm0.6
140	L1y1cTm2.5cg0.8cm0.8
141	L1y1cTm2.5cg0c0
142	L1y1cTm2.5cg1cm1
143	L1y1cTm2cgm0.2c0.2
144	L1y1cTm2cgm0.4c0.4
145	L1y1cTm2cgm0.6c0.6
146	L1y1cTm2cgm0.8c0.8
147	L1y1cTm2cg0.2cm0.2
148	L1y1cTm2cg0.4cm0.4
149	L1y1cTm2cg0.6cm0.6
150	L1y1cTm2cg0.8cm0.8
151	L1y1cTm2cg0c0
152	L1y1cTm2cg1cm1
153	L1y1cTm3cgm0.2c0.2
154	L1y1cTm3cgm0.4c0.4
155	L1y1cTm3cgm0.6c0.6
156	L1y1cTm3cgm0.8c0.8
157	L1y1cTm3cgm1c1
158	L1y1cTm3cg0.2cm0.2
159	L1y1cTm3cg0.4cm0.4
160	L1y1cTm3cg0.6cm0.6
161	L1y1cTm3cg0.8cm0.8
162	L1y1cTm3cg0c0
163	L1y1cTm3cg1cm1
164	L1y1cT0.5cgm0.2c0.2
165	L1y1cT0.5cgm0.4c0.4
166	L1y1cT0.5cgm0.6c0.6
167	L1y1cT0.5cgm0.8c0.8
168	L1y1cT0.5cg0.2cm0.2
169	L1y1cT0.5cg0.4cm0.4
170	L1y1cT0.5cg0.6cm0.6
171	L1y1cT0.5cg0.8cm0.8
