centralMhh	centralCostS	meanA1	RMSA1	fittedA1	errorFitA1	fitResiduals
260.	-0.78	23.94148078431373	24.37484412403777	22.778984503569927	0.6578301650744673	0.19287477088639032
260.	0.	25.77427068965517	27.786610427102737	24.365448665286312	0.7115668414714358	0.21134341732760628
260.	0.78	19.69379870967742	14.733442566293025	18.97283497888519	0.4013472259180094	0.12394046355629382
285.	-0.78	8.128440612244898	1.9015903556868996	7.795035397212342	0.16866566701010569	0.15606552715768504
285.	0.	8.381085886143932	2.0275099705341715	8.103796036152344	0.1610389040673994	0.1549434973818753
285.	0.78	7.806951921182266	1.666167085954974	7.521185578771772	0.15053062243096796	0.1401984556718108
315.	-0.78	4.19473718487395	0.21662533631564682	4.114139970227278	0.04237101313072622	0.06226880765881252
315.	0.	4.19956844099914	0.21905567466658787	4.106942009241413	0.04194004027583259	0.06593395428559862
315.	0.78	3.9845875956820413	0.1853152332441574	3.872611572918838	0.04745820447677308	0.07093929460203292
345.	-0.78	2.712804924279433	0.021319282482626704	2.6620174705797273	0.017909014583761106	0.03429586908192642
345.	0.	2.7676574942672505	0.022781217780646068	2.7163466611577602	0.015175395692814097	0.02947434828753804
345.	0.78	2.6022583690987124	0.018894389640467614	2.5592185854978555	0.01957522541434392	0.03902528287991293
375.	-0.78	2.2023407658505967	0.0031772793261574876	2.1671894987503753	0.012929165582267095	0.02984153225647813
375.	0.	2.100656882148185	0.0011012986075456899	2.074366678586052	0.010626350373671184	0.025607365208186097
375.	0.78	2.1262169491525427	0.001881425413642949	2.0928986026486314	0.010860523228188609	0.02608755602709383
405.	-0.78	1.8815782119597393	0.004232558792878515	1.8657495299421756	0.014562615518290715	0.03873631077941274
405.	0.	1.965407889767798	0.0015861445271269287	1.9339075129618124	0.010796695763720731	0.027854657749866285
405.	0.78	1.98444703900156	0.003182584806297532	1.9559077294843885	0.012596613735576405	0.03182711078070583
435.	-0.78	1.788577136915078	0.007655349300880101	1.7654407009789694	0.015980254133545178	0.04422274831610044
435.	0.	1.791045288334556	0.004800190821080028	1.767460053813802	0.0122884737141056	0.033349525862473646
435.	0.78	1.7906294138294139	0.005426530741238792	1.7677541065921967	0.013320181264687474	0.03628433311387105
475.	-0.78	1.637016577273984	0.01250306805827111	1.61524850683719	0.016900145056368505	0.0480470764018656
475.	0.	1.6489622023949286	0.010686976886414894	1.6235662719884705	0.01593592483369449	0.04465894095801878
475.	0.78	1.651628719665272	0.012146337801419419	1.6294491980624488	0.019362757058382002	0.056123476177099604
525.	-0.78	1.532160945017182	0.018209965296559952	1.535225644949079	0.019817880857845468	0.0600424993010937
525.	0.	1.5148832931003422	0.017155369509581773	1.4984768425986439	0.01741938039817418	0.05066169219878279
525.	0.78	1.5367366397277755	0.01647665957688058	1.5277456896383321	0.017512336625641837	0.05180391626491485
575.	-0.78	1.4870940341296928	0.019518469187497334	1.4799096727412333	0.01916672527207098	0.058024678748196695
575.	0.	1.4808645858343337	0.019588052888598845	1.4631764348544989	0.018489902101102847	0.05355695071272842
575.	0.78	1.505131369580179	0.019570655053487256	1.4963114037177998	0.01975499900372915	0.05917845081972632
650.	-0.78	1.43845664	0.021151907511870537	1.4154992550301357	0.01710155468785871	0.05630402491254023
650.	0.	1.4484893345487693	0.020894055813224545	1.4315576145410482	0.019907315313362692	0.06319069234959289
650.	0.78	1.4038288614183476	0.03218392633405844	1.3972034910590394	0.02823404791435344	0.08403170340349048
750.	-0.78	1.2750945291479823	0.0423325261894204	1.250594148240089	0.028878305655422713	0.0983844439968724
750.	0.	1.3606918188795087	0.02858216173855062	1.3457772653510722	0.02199804669361163	0.07372552189604688
750.	0.78	1.3445530546623794	0.03685113103092094	1.3252647285392067	0.027515549046097595	0.08811673303444612
900.	-0.78	1.3579292783505155	0.0400563055850645	1.3244813291131843	0.03012405188364479	0.11244377051315432
900.	0.	1.291364117647059	0.037820451987657315	1.2711695383529595	0.025738903035213583	0.0916842462335532
900.	0.78	1.1404254545454546	0.06363695425757697	1.1480596858863554	0.03549929610691481	0.13136815494467088
