centralMhh	centralCostS	meanA1	RMSA1	fittedA1	errorFitA1	fitResiduals
260.	0.78	493.25318823529415	1017.105827960403	495.958814615596	9.749377165342542	0.18587277351782516
260.	0.	519.3119637931035	649.5816869386138	508.75501613995345	9.550732210919538	0.13848474756956042
260.	0.78	418.5120193548387	965.8560572356527	398.0720574347037	5.346820828248221	0.28719364196268404
285.	0.78	168.90149846938775	103.02579649898404	173.550353460457	3.2675127343403867	0.0946097367950131
285.	0.	175.2722081632653	25.014446427388542	169.66558388797108	1.671991335208499	0.032897007661635974
285.	0.78	167.57806256157636	35.807446145204395	157.39262714977372	1.7534166796512505	0.041575265709063045
315.	0.78	88.55012268907564	19.558386250482634	86.89398829264049	1.248254792888512	0.054476206913921445
315.	0.	90.68327364341086	5.109732435568436	86.44590402854631	0.8683710556361114	0.0315849973275459
315.	0.78	83.56472973503435	4.246876417666301	80.7005033409396	0.585065808948595	0.026723575791171943
345.	0.78	53.05465881778211	5.709418067758575	49.56591864919616	0.5633466464706461	0.05065526053015378
345.	0.	55.00583414634147	1.2461023208112059	52.29134394726708	0.39077532199649895	0.02941945009925083
345.	0.78	50.62779141630901	2.4190909344327163	48.87971888098609	0.4003128873896353	0.03968694431972462
375.	0.78	42.46125367231639	0.5571895820383944	40.38279687781439	0.37585434553351943	0.032005536726701804
375.	0.	40.934925559423164	0.6193799696864194	39.17306097817673	0.33589264962827187	0.02285442624184416
375.	0.78	40.004580508474575	1.369192702009039	39.00853240566299	0.40324366562623537	0.035085945899105304
405.	0.78	40.02979396092362	2.2998907772874153	38.90844752724572	0.3641542822529899	0.030704552373019205
405.	0.	42.05741291145701	0.26058555196565314	40.84431518268372	0.15017904753066244	0.01490740009558873
405.	0.78	41.58237678627145	1.4142833196658293	39.78203700203772	0.40721689852391124	0.025649578788125203
435.	0.78	43.06995077989602	1.2682312222951182	40.81168965013937	0.44340813516424965	0.03795133051017669
435.	0.	44.58108255319149	0.4505048106023667	42.85203302856135	0.24037581146115108	0.02187983387326966
435.	0.78	43.443147209547206	1.3019249950492309	41.68863551229867	0.30497419023670935	0.03425210461745922
475.	0.78	48.4486163671551	2.028989483689517	46.43862481933333	0.5932758419068096	0.04043791466253606
475.	0.	49.347416083587696	0.7054551565192685	47.43200383533023	0.3341871496892385	0.027146036474965194
475.	0.78	48.0315579916318	0.8199191721299851	46.348590765083486	0.31543848739975233	0.02995189525577792
525.	0.78	56.22681262886597	1.3567437475331179	53.64435704015051	0.34956342357619674	0.03073433848178361
525.	0.	57.892670725995316	1.728502966853054	55.59849647915472	0.3860234867489305	0.028889479596771975
525.	0.78	55.93582381965122	4.085666934816697	53.33821690221417	0.4770075344815384	0.03840023122751303
575.	0.78	65.19262361774744	0.6585598261911033	62.14915477884343	0.30897653016829824	0.025976166740806415
575.	0.	70.23318979591838	2.164816886347484	68.7453841171877	0.41600411908482293	0.029148639306728893
575.	0.78	67.70128905712319	7.719817435742021	67.16094734231505	0.545121188034802	0.054438330021477424
650.	0.78	82.0663428	4.19463278452835	78.05526069010702	0.6837720835899755	0.048835803944163175
650.	0.	92.91072743846854	4.787939001623423	88.53189811887249	0.8235346303186105	0.054654348848426716
650.	0.78	81.041873129473	8.366896954957477	80.10378582292266	0.9807428838916249	0.06356407064431241
750.	0.78	102.88269955156949	13.85902260595965	96.12709576567046	0.9883018477529025	0.07576082666106816
750.	0.	129.48676438986953	13.857082486093747	123.87945899216994	0.6947911245780111	0.038677627437004425
750.	0.78	108.50241414790997	19.433415523240022	103.16817959951176	0.6136572193406811	0.05055631351430213
900.	0.78	157.14203659793816	44.995275922729085	144.6829586195996	1.5799556615089316	0.12169063768876595
900.	0.	184.14885220588235	19.683671990837205	177.5340079912065	0.5656374247849126	0.038088551676365594
900.	0.78	139.5397309090909	57.413828420784235	130.7532335271111	1.1676748442046145	0.08300585606280488
