0.0001	0.25	0	0	0
0.0001	0.5	0	0	0
0.0001	0.75	0	0	0
0.0001	1.	0	0	0
0.0001	1.25	0	0	0
0.0001	1.5	0	0	0
0.0001	1.75	0	0	0
0.0001	2.	0	0	0
0.0001	2.25	0	0	0
0.0001	2.5	0	0	0
0.0001	2.75	0	0	0
0.0001	3.	0	0	0
0.0001	3.5	0	0	0
0.0001	4.	0	0	0
0.0001	4.5	0	0	0
0.0001	5.	0	0	0
0.0001	5.5	0	0	0
0.0001	6.	0	0	0
0.0001	6.5	0	0	0
0.0001	7.	0	0	0
0.0001	7.5	0	0	0
0.0001	8.	0	0	0
0.0001	8.5	0	0	0
0.0001	9.	0	0	0
0.0001	9.5	0	0	0
0.0001	10.	0	0	0
0.0001	0.0001	-3.	0	0
0.0001	0.0001	-2.5	0	0
0.0001	0.0001	-2.	0	0
0.0001	0.0001	-1.5	0	0
0.0001	0.0001	-1.	0	0
0.0001	0.0001	-0.5	0	0
0.0001	0.0001	0.	0	0
0.0001	0.0001	0.5	0	0
0.0001	0.0001	1.	0	0
0.0001	0.0001	1.5	0	0
0.0001	0.0001	2.	0	0
0.0001	0.0001	2.5	0	0
0.0001	0.0001	3.	0	0
-15.	0.5	0	0	0
-12.5	0.5	0	0	0
-10.	0.5	0	0	0
-7.5	0.5	0	0	0
-5.	0.5	0	0	0
-2.5	0.5	0	0	0
0.0001	0.5	0	0	0
2.5	0.5	0	0	0
5.	0.5	0	0	0
7.5	0.5	0	0	0
10.	0.5	0	0	0
12.5	0.5	0	0	0
15.	0.5	0	0	0
-15.	1.	0	0	0
-12.5	1.	0	0	0
-10.	1.	0	0	0
-7.5	1.	0	0	0
-5.	1.	0	0	0
-2.5	1.	0	0	0
0.0001	1.	0	0	0
2.5	1.	0	0	0
5.	1.	0	0	0
7.5	1.	0	0	0
10.	1.	0	0	0
12.5	1.	0	0	0
15.	1.	0	0	0
-15.	1.5	0	0	0
-12.5	1.5	0	0	0
-10.	1.5	0	0	0
-7.5	1.5	0	0	0
-5.	1.5	0	0	0
-2.5	1.5	0	0	0
0.0001	1.5	0	0	0
2.5	1.5	0	0	0
5.	1.5	0	0	0
7.5	1.5	0	0	0
10.	1.5	0	0	0
12.5	1.5	0	0	0
15.	1.5	0	0	0
-15.	2.	0	0	0
-12.5	2.	0	0	0
-10.	2.	0	0	0
-7.5	2.	0	0	0
-5.	2.	0	0	0
-2.5	2.	0	0	0
0.0001	2.	0	0	0
2.5	2.	0	0	0
5.	2.	0	0	0
7.5	2.	0	0	0
10.	2.	0	0	0
12.5	2.	0	0	0
15.	2.	0	0	0
-15.	2.5	0	0	0
-12.5	2.5	0	0	0
-10.	2.5	0	0	0
-7.5	2.5	0	0	0
-5.	2.5	0	0	0
-2.5	2.5	0	0	0
0.0001	2.5	0	0	0
2.5	2.5	0	0	0
5.	2.5	0	0	0
7.5	2.5	0	0	0
10.	2.5	0	0	0
12.5	2.5	0	0	0
15.	2.5	0	0	0
